City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,leh,34.1667,77.5833,259.4,58,2,0.89,IN,1674367178
207,antofagasta,-23.65,-70.4,291.75,86,15,1.59,CL,1674367038
208,say,13.1007,2.3689,293.46,21,80,3.17,NE,1674367178
209,ixtapa,20.7,-105.2,290.6,92,11,1.22,MX,1674367178
210,shingu,33.7333,135.9833,282.26,40,50,1.98,JP,1674367178
211,tak,16.5833,98.8333,304.7,31,0,1.01,TH,1674366627
212,ponta do sol,32.6667,-17.1,290.77,70,64,3.46,PT,1674367179
213,inuvik,68.3499,-133.7218,255.57,85,75,1.03,CA,1674367179
214,kimbe,-5.5502,150.1429,302.36,71,100,1.37,PG,1674367179
215,zeerust,-25.5369,26.0751,296.78,39,13,4.51,ZA,1674367180
216,praxedis guerrero,31.3667,-106.0167,277.6,43,1,2.89,MX,1674367180
217,bay roberts,47.5999,-53.2648,273.99,96,100,2.68,CA,1674367180
218,doka,13.5167,35.7667,297.98,40,27,5.44,SD,1674367181
219,faanui,-16.4833,-151.75,300.33,66,100,2.67,PF,1674367181
220,taltal,-25.4,-70.4833,292.1,79,14,0.64,CL,1674367181
221,praia da vitoria,38.7333,-27.0667,288.57,77,75,5.78,PT,1674367182
222,idenao,4.2475,9.0047,298.98,88,91,0.87,CM,1674367182
223,kavaratti,10.5669,72.642,300.01,69,53,6.09,IN,1674367182
224,oriximina,-1.7656,-55.8661,295.49,95,99,0.95,BR,1674367182
225,pangnirtung,66.1451,-65.7125,257.03,98,100,1.33,CA,1674367182
226,cururupu,-1.8283,-44.8683,296.06,97,54,1.21,BR,1674367183
227,hamina,60.5697,27.1979,268.75,93,100,2.77,FI,1674367183
228,samarai,-10.6167,150.6667,301.45,74,98,2.04,PG,1674367183
229,coahuayana,18.7333,-103.6833,293.05,91,0,1.73,MX,1674367183
230,rabo de peixe,37.8,-25.5833,286.88,62,75,4.63,PT,1674367183
231,puerto madryn,-42.7692,-65.0385,296.42,41,79,10.45,AR,1674367184
232,do gonbadan,30.3586,50.7981,282.2,93,20,0.0,IR,1674367184
233,henties bay,-22.116,14.2845,291.47,88,74,1.86,NA,1674367184
234,moorhead,46.8739,-96.7676,259.16,85,0,2.06,US,1674367184
235,galesong,-5.3166,119.3661,301.16,72,80,4.02,ID,1674367184
236,avera,33.194,-82.5271,278.88,84,100,2.31,US,1674367185
237,roma,43.2128,-75.4557,272.09,95,89,1.29,US,1674367185
238,bredasdorp,-34.5322,20.0403,293.08,80,76,2.08,ZA,1674367185
239,westport,41.1415,-73.3579,276.11,72,51,0.45,US,1674367185
240,guerrero negro,27.9769,-114.0611,286.9,42,0,2.41,MX,1674367185
241,asau,46.4333,26.4,275.66,96,100,1.18,RO,1674367185
242,kodinsk,58.6881,99.1844,240.85,90,50,1.34,RU,1674367185
243,saint-francois,46.4154,3.9054,271.84,80,100,5.14,FR,1674367186
244,iranshahr,27.2025,60.6848,282.34,46,0,0.0,IR,1674367186
245,deputatskiy,69.3,139.9,234.6,95,89,2.86,RU,1674367186
246,vangaindrano,-23.35,47.6,298.89,89,100,4.46,MG,1674367186
247,lebu,-37.6167,-73.65,287.52,88,0,5.42,CL,1674367186
248,grindavik,63.8424,-22.4338,272.12,86,75,18.52,IS,1674367186
249,ilhabela,-23.7781,-45.3581,296.07,88,50,1.57,BR,1674367186
250,kaitangata,-46.2817,169.8464,286.39,87,78,4.65,NZ,1674367187
251,bhadrachalam,17.6667,80.8833,304.24,38,38,0.67,IN,1674367187
252,misawa,40.6836,141.3597,271.26,65,88,6.41,JP,1674367187
253,tomatlan,19.9333,-105.25,291.04,94,0,1.16,MX,1674367187
254,mount isa,-20.7333,139.5,310.02,14,61,4.12,AU,1674367187
255,wattegama,6.7989,81.4808,295.93,93,100,3.11,LK,1674367188
256,antalaha,-14.9003,50.2788,298.72,81,98,0.77,MG,1674367188
257,yulara,-25.2406,130.9889,308.83,16,0,0.62,AU,1674367188
258,zambezi,-13.5432,23.1047,291.15,96,100,3.74,ZM,1674367188
259,saint george,37.1041,-113.5841,275.9,61,0,2.24,US,1674367188
260,xuddur,4.1213,43.8894,299.56,35,85,11.19,SO,1674367189
261,verkhnyaya sinyachikha,57.976,61.6673,266.62,80,100,5.45,RU,1674367189
262,oussouye,12.485,-16.5469,291.11,74,15,3.56,SN,1674367189
263,dao,11.3937,122.6856,299.83,76,87,5.03,PH,1674367190
264,klaeng,12.7797,101.6483,305.93,42,21,0.26,TH,1674367190
265,kavieng,-2.5744,150.7967,301.92,71,100,1.11,PG,1674367190
266,mugumu,-1.85,34.7,291.94,65,94,2.41,TZ,1674367191
267,flinders,-34.5833,150.8552,295.03,86,100,2.68,AU,1674367191
268,clearwater,27.9659,-82.8001,290.9,82,0,4.47,US,1674367191
269,srednekolymsk,67.45,153.6833,231.49,100,100,0.96,RU,1674367191
270,rocha,-34.4833,-54.3333,293.51,68,18,3.07,UY,1674367191
271,murray bridge,-35.1167,139.2667,298.89,47,87,7.81,AU,1674367191
272,artyom,40.4723,50.333,278.23,53,0,5.41,AZ,1674367192
273,novaya igirma,57.1334,103.9112,237.17,86,96,1.36,RU,1674367192
274,mehamn,71.0357,27.8492,274.12,86,100,6.69,NO,1674367192
